condition,mapping,gc_threshold,workload,repetitions,total_iops_min,total_iops_median,total_iops_max,total_iops_relative_range_percent,worst_p99_us_min,worst_p99_us_median,worst_p99_us_max,worst_p99_us_relative_range_percent,worst_p999_us_min,worst_p999_us_median,worst_p999_us_max,worst_p999_us_relative_range_percent,waf_min,waf_median,waf_max,waf_relative_range_percent
page-gc90,page,90,randread-4k-qd1,3,25259.42901,25680.688655,25796.436726,2.0910954656017187,51.968,52.48,52.992,1.9512195121951101,63.744,66.048,73.216,14.341085271317821,1.0,1.0,1.0,0.0
page-gc90,page,90,randread-4k-qd32,3,254140.58099,257276.295395,261533.707772,2.873613665281223,216.064,226.304,228.352,5.42986425339367,259.072,284.672,284.672,8.99280575539569,1.0,1.0,1.0,0.0
page-gc90,page,90,randrw30-4k-qd32,3,170929.267845,171520.57465700002,172552.107465,0.9461486607337359,284.672,288.768,305.152,7.09219858156027,2801.664,2801.664,2834.432,1.1695906432748384,1.012003523904903,1.0120208949587766,1.0120920555566266,0.008748006307441759
page-gc90,page,90,randrw70-4k-qd32,3,224380.043666,226765.137248,227509.141514,1.379884882647486,333.824,333.824,342.016,2.453987730061352,456.704,485.376,497.664,8.43881856540084,1.0116572750960697,1.0123331820677006,1.0126462241712209,0.09769007799696795
page-gc90,page,90,randwrite-4k-qd1,3,4725.854569,4736.521058,4749.437509,0.4978958123741173,228.352,230.4,234.496,2.6666666666666687,305.152,313.344,362.496,18.30065359477124,1.0,1.0,1.0,0.0
page-gc90,page,90,randwrite-4k-qd32,3,143649.78917,143889.41851,144435.342744,0.5459425593171024,272.384,272.384,272.384,0.0,2899.968,2899.968,2899.968,0.0,1.0091210532824022,1.012006392971972,1.012011733491179,0.2856385324096224
page-gc90,page,90,read-128k-qd1,3,9842.552624,9868.118865,9876.752054,0.3465648363975252,166.912,166.912,166.912,0.0,207.872,207.872,207.872,0.0,1.0,1.0,1.0,0.0
page-gc90,page,90,read-128k-qd32,3,58293.828436,58547.60754,59376.760387,1.8496604669287888,946.176,962.56,970.752,2.5531914893616925,1155.072,1286.144,1302.528,11.464968152866252,1.0,1.0,1.0,0.0
page-gc90,page,90,write-128k-qd1,3,4521.491308,4533.02445,4557.357377,0.7912171971629363,228.352,236.544,254.976,11.255411255411254,2146.304,2179.072,2179.072,1.5037593984962419,1.0,1.0,1.0,0.0
page-gc90,page,90,write-128k-qd32,3,9621.541897,9623.875075,9627.024865,0.0569725599851498,5210.112,5210.112,5210.112,0.0,5275.648,5275.648,5341.184,1.2422360248447217,1.0,1.0,1.0,0.0
