condition,mapping,gc_threshold,workload,repetition,read_iops,write_iops,total_iops,read_bw_mib_s,write_bw_mib_s,total_bw_mib_s,read_p99_us,write_p99_us,worst_p99_us,read_p999_us,write_p999_us,worst_p999_us,host_write_pages,gc_write_pages,waf
page-gc50,page,50,randwrite-4k-qd32,2,0.0,135952.367461,135952.367461,0.0,531.0659532546997,531.0659532546997,0.0,276.48,276.48,0.0,8978.432,8978.432,9530684,1192620,1.1251347752165533
page-gc50,page,50,randwrite-4k-qd32,3,0.0,135338.527691,135338.527691,0.0,528.6682062149048,528.6682062149048,0.0,280.576,280.576,0.0,8978.432,8978.432,9459932,1181685,1.1249147456873898
page-gc50,page,50,read-128k-qd1,1,9974.500425,0.0,9974.500425,1246.8125524520874,0.0,1246.8125524520874,166.912,0.0,166.912,207.872,0.0,207.872,0,0,1.0
page-gc50,page,50,read-128k-qd1,2,10063.065616,0.0,10063.065616,1257.883201599121,0.0,1257.883201599121,164.864,0.0,164.864,205.824,0.0,205.824,0,0,1.0
page-gc50,page,50,read-128k-qd1,3,10001.233313,0.0,10001.233313,1250.1541633605957,0.0,1250.1541633605957,166.912,0.0,166.912,205.824,0.0,205.824,0,0,1.0
page-gc50,page,50,read-128k-qd32,1,61294.428426,0.0,61294.428426,7661.8681354522705,0.0,7661.8681354522705,954.368,0.0,954.368,1253.376,0.0,1253.376,0,0,1.0
page-gc50,page,50,read-128k-qd32,2,62665.672239,0.0,62665.672239,7833.275694847107,0.0,7833.275694847107,897.024,0.0,897.024,1073.152,0.0,1073.152,0,0,1.0
page-gc50,page,50,read-128k-qd32,3,61241.895968,0.0,61241.895968,7655.303661346436,0.0,7655.303661346436,913.408,0.0,913.408,1122.304,0.0,1122.304,0,0,1.0
page-gc50,page,50,write-128k-qd1,1,0.0,4551.107482,4551.107482,0.0,568.8884344100952,568.8884344100952,0.0,232.448,232.448,0.0,2146.304,2146.304,10212192,0,1.0
page-gc50,page,50,write-128k-qd1,2,0.0,4578.457026,4578.457026,0.0,572.3071279525757,572.3071279525757,0.0,228.352,228.352,0.0,2146.304,2146.304,10255584,0,1.0
page-gc50,page,50,write-128k-qd1,3,0.0,4568.60719,4568.60719,0.0,571.0758981704712,571.0758981704712,0.0,228.352,228.352,0.0,2146.304,2146.304,10235904,0,1.0
page-gc50,page,50,write-128k-qd32,1,0.0,9618.458769,9618.458769,0.0,1202.3719244003296,1202.3719244003296,0.0,5210.112,5210.112,0.0,5341.184,5341.184,21548160,0,1.0
page-gc50,page,50,write-128k-qd32,2,0.0,9631.357909,9631.357909,0.0,1203.9843168258667,1203.9843168258667,0.0,5210.112,5210.112,0.0,5275.648,5275.648,21572928,0,1.0
page-gc50,page,50,write-128k-qd32,3,0.0,9624.508366,9624.508366,0.0,1203.1281242370605,1203.1281242370605,0.0,5210.112,5210.112,0.0,5275.648,5275.648,21561856,0,1.0
page-gc90,page,90,randread-4k-qd1,1,25796.436726,0.0,25796.436726,100.76733016967773,0.0,100.76733016967773,52.48,0.0,52.48,73.216,0.0,73.216,0,0,1.0
page-gc90,page,90,randread-4k-qd1,2,25259.42901,0.0,25259.42901,98.66964435577393,0.0,98.66964435577393,52.992,0.0,52.992,66.048,0.0,66.048,0,0,1.0
page-gc90,page,90,randread-4k-qd1,3,25680.688655,0.0,25680.688655,100.31518936157227,0.0,100.31518936157227,51.968,0.0,51.968,63.744,0.0,63.744,0,0,1.0
page-gc90,page,90,randread-4k-qd32,1,261533.707772,0.0,261533.707772,1021.6181287765503,0.0,1021.6181287765503,216.064,0.0,216.064,259.072,0.0,259.072,0,0,1.0
page-gc90,page,90,randread-4k-qd32,2,257276.295395,0.0,257276.295395,1004.9875469207764,0.0,1004.9875469207764,228.352,0.0,228.352,284.672,0.0,284.672,0,0,1.0
page-gc90,page,90,randread-4k-qd32,3,254140.58099,0.0,254140.58099,992.7387275695801,0.0,992.7387275695801,226.304,0.0,226.304,284.672,0.0,284.672,0,0,1.0
page-gc90,page,90,randrw30-4k-qd32,1,51783.270279,120768.837186,172552.107465,202.27904987335205,471.7547016143799,674.0337514877319,259.072,284.672,284.672,2736.128,2834.432,2834.432,8403534,101616,1.0120920555566266
page-gc90,page,90,randrw30-4k-qd32,2,51474.708755,120045.865902,171520.57465700002,201.07347106933594,468.9307909011841,670.00426197052,264.192,288.768,288.768,2736.128,2801.664,2801.664,8421170,101230,1.0120208949587766
page-gc90,page,90,randrw30-4k-qd32,3,51297.695038,119631.572807,170929.267845,200.38188076019287,467.3125886917114,667.6944694519043,268.288,305.152,305.152,2736.128,2801.664,2801.664,8414529,101004,1.012003523904903
page-gc90,page,90,randrw70-4k-qd32,1,157073.965434,67306.078232,224380.043666,613.5713491439819,262.91527938842773,876.4866285324097,280.576,333.824,333.824,370.688,456.704,456.704,4723917,55068,1.0116572750960697
page-gc90,page,90,randrw70-4k-qd32,2,158739.087682,68026.049566,226765.137248,620.0754070281982,265.7279930114746,885.8034000396729,284.672,342.016,342.016,387.072,485.376,485.376,4820253,60958,1.0126462241712209
page-gc90,page,90,randrw70-4k-qd32,3,159260.945651,68248.195863,227509.141514,622.1139144897461,266.5956869125366,888.7096014022827,280.576,333.824,333.824,382.976,497.664,497.664,4834762,59628,1.0123331820677006
page-gc90,page,90,randwrite-4k-qd1,1,0.0,4725.854569,4725.854569,0.0,18.460369110107422,18.460369110107422,0.0,234.496,234.496,0.0,362.496,362.496,329750,0,1.0
page-gc90,page,90,randwrite-4k-qd1,2,0.0,4749.437509,4749.437509,0.0,18.552555084228516,18.552555084228516,0.0,228.352,228.352,0.0,305.152,305.152,332971,0,1.0
page-gc90,page,90,randwrite-4k-qd1,3,0.0,4736.521058,4736.521058,0.0,18.50203514099121,18.50203514099121,0.0,230.4,230.4,0.0,313.344,313.344,332085,0,1.0
page-gc90,page,90,randwrite-4k-qd32,1,0.0,144435.342744,144435.342744,0.0,564.2026405334473,564.2026405334473,0.0,272.384,272.384,0.0,2899.968,2899.968,10060132,91759,1.0091210532824022
page-gc90,page,90,randwrite-4k-qd32,2,0.0,143889.41851,143889.41851,0.0,562.0700588226318,562.0700588226318,0.0,272.384,272.384,0.0,2899.968,2899.968,10102705,121351,1.012011733491179
page-gc90,page,90,randwrite-4k-qd32,3,0.0,143649.78917,143649.78917,0.0,561.1340065002441,561.1340065002441,0.0,272.384,272.384,0.0,2899.968,2899.968,10091707,121165,1.012006392971972
page-gc90,page,90,read-128k-qd1,1,9868.118865,0.0,9868.118865,1233.5148572921753,0.0,1233.5148572921753,166.912,0.0,166.912,207.872,0.0,207.872,0,0,1.0
page-gc90,page,90,read-128k-qd1,2,9842.552624,0.0,9842.552624,1230.3190774917603,0.0,1230.3190774917603,166.912,0.0,166.912,207.872,0.0,207.872,0,0,1.0
page-gc90,page,90,read-128k-qd1,3,9876.752054,0.0,9876.752054,1234.594006538391,0.0,1234.594006538391,166.912,0.0,166.912,207.872,0.0,207.872,0,0,1.0
page-gc90,page,90,read-128k-qd32,1,58547.60754,0.0,58547.60754,7318.5155239105225,0.0,7318.5155239105225,962.56,0.0,962.56,1286.144,0.0,1286.144,0,0,1.0
page-gc90,page,90,read-128k-qd32,2,58293.828436,0.0,58293.828436,7286.795219421387,0.0,7286.795219421387,970.752,0.0,970.752,1302.528,0.0,1302.528,0,0,1.0
page-gc90,page,90,read-128k-qd32,3,59376.760387,0.0,59376.760387,7422.161713600159,0.0,7422.161713600159,946.176,0.0,946.176,1155.072,0.0,1155.072,0,0,1.0
page-gc90,page,90,write-128k-qd1,1,0.0,4557.357377,4557.357377,0.0,569.6696720123291,569.6696720123291,0.0,228.352,228.352,0.0,2146.304,2146.304,10223264,0,1.0
page-gc90,page,90,write-128k-qd1,2,0.0,4521.491308,4521.491308,0.0,565.1864128112793,565.1864128112793,0.0,236.544,236.544,0.0,2179.072,2179.072,10149696,0,1.0
page-gc90,page,90,write-128k-qd1,3,0.0,4533.02445,4533.02445,0.0,566.6280555725098,566.6280555725098,0.0,254.976,254.976,0.0,2179.072,2179.072,10128320,0,1.0
page-gc90,page,90,write-128k-qd32,1,0.0,9621.541897,9621.541897,0.0,1202.7573156356812,1202.7573156356812,0.0,5210.112,5210.112,0.0,5275.648,5275.648,21555008,0,1.0
page-gc90,page,90,write-128k-qd32,2,0.0,9627.024865,9627.024865,0.0,1203.442687034607,1203.442687034607,0.0,5210.112,5210.112,0.0,5275.648,5275.648,21565888,0,1.0
page-gc90,page,90,write-128k-qd32,3,0.0,9623.875075,9623.875075,0.0,1203.0489625930786,1203.0489625930786,0.0,5210.112,5210.112,0.0,5341.184,5341.184,21560544,0,1.0
